cct,nombre,
07DCC0989V,MANUEL VELASCO SUAREZ,
07DCC0991J,MARGARITA MAZA DE JUAREZ,
07DCC0992I,MARGARITA PAZ PAREDES,
07DCC0996E,FERNANDO MONTES DE OCA,
07DCC0997D,JUAN DE LA BARRERA,
07DCC0998C,FRANCISCO INDALECIO MADERO,
07DCC1000R,SOR JUANA INES DE LA CRUZ,
07DCC1002P,CARMEN SERDAN ALATRISTE,
07DCC1003O,JAIME TORRES BODET,
07DCC1007K,LEONA VICARIO,
07DCC1010Y,GUADALUPE VICTORIA,
07DCC1012W,MOCTEZUMA I,
07DCC1013V,JUANA DE ARCO,
07DCC1015T,VICENTE SUAREZ,
07DCC1016S,NARCISO MENDOZA,
07DCC1017R,MANUEL AVILA CAMACHO,
07DCC1022C,JOSE VASCONCELOS CALDERON,
07DCC1023B,MIGUEL HIDALGO Y COSTILLA,
07DCC1024A,ANGEL ALBINO CORZO,
07DCC1027Y,PLUTARCO ELIAS CALLES,
07DCC1028X,NICOLAS BRAVO,
07DCC1031K,BELISARIO DOMINGUEZ PALENCIA,
07DCC1032J,ADOLFO RUIZ CORTINEZ,
07DCC1033I,LAZARO CARDENAS DEL RIO,
07DCC1034H,AQUILES SERDAN,
07DCC1036F,FELIPE CARRILLO PUERTO,
07DCC1038D,MELCHOR OCAMPO,
07DCC1039C,IGNACIO JOSE DE ALLENDE Y UNZAGA,
07DCC1040S,JUSTO SIERRA MENDEZ,
07DCC1043P,AQUILES SERDAN,
07DCC1046M,DOROTEO ARANGO,
07DCC1047L,MARGARITA MAZA DE JUAREZ,
07DCC1048K,AMADO NERVO,
07DCC1051Y,JOSEFA ORTIZ DE DOMINGUEZ,
07DCC1054V,SOR JUANA INES DE LA CRUZ,
07DCC1056T,EMILIANO ZAPATA SALAZAR,
07DCC1059Q,LOS NIÑOS HEROES,
07DCC1060F,MARIA ENRIQUETA CAMARILLO DE PEREYRA,
07DCC1061E,JOSE MARIA PINO SUAREZ,
07DCC1063C,FERNANDO MONTES DE OCA,
07DCC1064B,MARIA MONTESSORI,
07DCC1065A,MARIA DEL CARMEN SERDAN,
07DCC1066Z,FERNANDO MONTES DE OCA,
07DCC1067Z,MARIA MONTESSORI,
07DCC1068Y,NARCISO MENDOZA,
07DCC1069X,BELISARIO DOMINGUEZ PALENCIA,
07DCC1070M,ANDRES QUINTANA ROO,
07DCC1071L,FRANCISCO INDALECIO MADERO,
07DCC1075H,24 DE FEBRERO,
07DCC1078E,IGNACIO ALLENDE,
07DCC1079D,EMILIANO ZAPATA SALAZAR,
